所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段
/预约送货(#3202),修改预约单份数-PC端,登录PC端系统，进入预约单页面,"1.正常修改：选择一条预约单，修改份数为有效数值（如100），点击保存
2.边界值测试：修改份数为0，点击保存
3.负数测试：修改份数为负数（如-10），点击保存","1.正常修改：份数修改成功，页面显示更新后的份数
2.边界值测试：系统提示份数不能为0或给出相应提示
3.负数测试：系统提示份数不能为负数或不允许输入负数",,1,功能测试,功能测试阶段
/预约送货(#3202),修改预约单份数-H5端,登录H5端系统，进入预约单页面,"1.正常修改：选择一条预约单，修改份数为有效数值（如50），点击保存
2.边界值测试：修改份数为0，点击保存
3.负数测试：修改份数为负数（如-10），点击保存","1.正常修改：份数修改成功，页面显示更新后的份数
2.边界值测试：系统提示份数不能为0或给出相应提示
3.负数测试：系统提示份数不能为负数或不允许输入负数",,1,功能测试,功能测试阶段
/预约送货(#3202),H5端/pc端预约单详情显示"是否打大包",登录H5端系统，进入预约单详情页,"1.查看开幅字段下方
2.测试有打大包的预约单
3.测试无打大包的预约单
4.检查不需要填写大打包单据","1.""是否打大包""字段显示在开幅字段下面
2.有打大包的显示""是""
3.无打大包的显示""否""
4.“是否打大包”字段显示为空",,1,功能测试,功能测试阶段
/预约送货(#3202),预约送货上传图片-PC端,登录PC端系统，进入预约送货页面,"1.单张上传：选择一张图片（jpg格式），点击确认上传
2.多张上传：选择多张图片（jpg、png格式），点击确认上传
3.格式校验：选择非图片格式文件（如txt、doc），点击确认上传","1.单张上传：图片上传成功，页面显示上传的图片缩略图
2.多张上传：所有图片上传成功，页面显示所有上传的图片缩略图
3.格式校验：系统提示文件格式不支持，不允许上传",,1,功能测试,功能测试阶段
/预约送货(#3202),预约送货上传图片-H5端,登录H5端系统，进入预约送货页面,"1.点击上传图片按钮
2.从相册选择图片或拍照
3.点击确认上传",图片上传成功，页面显示上传的图片,,1,功能测试,功能测试阶段
/预约送货(#3202),H5端质检收货列表-印厂选择,登录H5端系统，进入质检收货列表,"1.点击选择印厂输入框
2.模糊匹配测试：输入印厂名称关键字，查看下拉选项
3.精确匹配测试：输入完整印厂名称，查看下拉选项","1.模糊匹配：下拉列表显示包含关键词的所有印厂，支持模糊匹配
2.精确匹配：下拉列表显示匹配的印厂",,1,功能测试,功能测试阶段
/预约送货(#3202),H5端质检收货列表选择仓库-模糊匹配及原料仓过滤,登录H5端系统，进入需要选择仓库的页面,"1.点击选择仓库输入框
2.模糊匹配测试：输入仓库名称关键字（如""成品""），查看下拉选项
3.过滤验证：查看所有仓库选项，确认是否包含原料仓","1.模糊匹配：下拉列表显示包含""成品""的所有仓库
2.过滤验证：下拉列表中不显示原料仓",,1,功能测试,功能测试阶段
/预约送货(#3202),预约送货详情显示图片,已上传图片的预约送货记录,"1.PC端测试：登录PC端系统，进入已上传图片的预约送货详情页，查看图片显示区域
2.H5端测试：登录H5端系统，进入已上传图片的预约送货详情页，查看图片显示区域","1.PC端：详情页正确显示所有上传的图片，支持点击查看大图
2.H5端：详情页正确显示所有上传的图片，支持点击查看大图",,1,功能测试,功能测试阶段
/H5端(#3219),样书列表查询条件调整,登录H5端系统，进入样书列表页面,"1.查看查询条件区域，确认是否有""时间""查询条件
2.查看届别查询条件，确认默认值
3.选择其他届别（如25届），点击查询
4.切换届别（从26届切换到25届），点击查询","1.查询条件中不显示""时间""查询条件
2.届别查询条件存在，且默认选中当前届别
3.列表显示选中届别的样书数据
4.列表数据更新为25届的样书数据",,1,功能测试,功能测试阶段
/H5端(#3219),样书列表缺省图文案,登录H5端系统，进入样书列表页面,1.查看无数据时的缺省图,缺省图文案已修改，不会让印厂误会为提纸单页面,,2,功能测试,功能测试阶段
/H5端(#3219),新增/修改随货同行单，选择收货地点改为可以输入内容模糊匹配选项,登录H5端系统，进入随货同行单页面,"1.新增/修改随货同行单，点击选择印厂输入框
2.模糊匹配测试：输入收货地点名称关键字，查看下拉选项
3.精确匹配测试：输入完整收货地点名称，查看下拉选项","1.模糊匹配：下拉列表显示包含关键词的所有收货地点，支持模糊匹配
2.精确匹配：下拉列表显示匹配的收货地点",,2,功能测试,功能测试阶段
/H5端(#3219),新增/修改随货同行单，物料分类默认纸张,登录H5端系统，进入随货同行单页面,1.新增/修改随货同行单，物料分类默认纸张,1.成功,,2,功能测试,功能测试阶段
/物料管理/提纸单(#3301),提纸单列表按钮文案及功能,登录PC端系统，进入提纸单列表页面,"1.查看操作按钮文案
2.点击""确认收纸""按钮，验证功能
3.点击""确认发纸""按钮，验证功能","1.原""确认提纸""按钮文案已改为""确认收纸""
2.原""确认调拨""按钮文案已改为""确认发纸""
3.""确认收纸""按钮功能正常，能够完成收纸确认操作
4.""确认发纸""按钮功能正常，能够完成发纸确认操作",,1,功能测试,功能测试阶段
