所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段
/生产计划/生产计划(#3040),查看左侧树状导航层级,,左侧共有三层（事业群-站点-生产属性），默认显示到第一层事业群,,,1,功能测试,
/生产计划/生产计划(#3040),左侧树状导航交互,,"1.选中某一级事业群
2.选择某一层级（非事业群）","1.左侧展开下级站点及生产属性
2.右边列表显示该层级及层级下的计划单",,2,功能测试,
/生产计划/生产计划(#3040),右边列表搜索功能,,"1.状态
2.事业群、配送中心、出片状态、是否含封面、生产标志、是否转单
3.届别、产品二类、生产属性
4.备注
5.单据编号
6.创建时间、接收时间、完结时间
7.最多显示两行筛选条件
8.点击高级筛选","1.多选查询，默认显示申请、待接收、等待处理状态下的数据
2.下拉单选
3.多选查询，届别默认当前届别
4.关键词搜索
5.计划单号精准搜索
6.区间范围搜索，包含开始结束当天
8.显示所有筛选条件",,2,功能测试,
/生产计划/生产计划(#3040),查看右边列表数据,,"1.单据状态
2.生产标志
3.单据编号
4.届别
5.配送中心
6.生产属性
7.是否含封面
8.事业群
9.备注
10.创建人、创建时间
11.接收人、接收时间
12.完结时间
13.确认时间
14.业务单号
15.查看明细数据
16.转单标志
17.急单标志","1.显示生产计划单的状态，申请、待接收、等待处理、完成、返单
首批、追加、改版
2.首批、追加、改版
3.规则：PL+9位数字
4.显示明细产品的届别
5.显示生产订单选择的站点，南昌站点、成都站点、唐山站点、咸宁站点
6.显示明细产品的生产属性
7.根据生产属性设置对应显示是否含封面
8.显示产品二类的事业群
9.显示填写的备注内容
10.取新增生产计划的操作人、操作时间
11.取接收新增计划的操作人、操作时间
12.取单据完结时间
13.取单据报废时间
14.显示产品计划单号（封扉计划关联的产品计划单号）
15.显示正确：转单标志、急单标志、出片状态、下表、产品印次、适用类型、科目、版本、地方版模块、批次、学期、部件单元、开本、印张、单元数、定价、申请数量、已提印数量、计划麻阳、供货码洋、要求入库时间、捆扎数、捆+零数、备注、书号、排序号、单据编号、产品编码、产品名称
16.待处理、已完结
17.是、否，明细有一个急单标志是是，主表就显示“是”",,1,功能测试,
/生产计划/生产计划(#3040),右边列表交互,,点击主表数据,点击主表数据,,2,功能测试,
/生产计划/生产计划(#3040),右边列表排序校验,,"1.主表排序规则
2.明细表排序","1.默认按照创建时间排序
能根据转单标志、要求入库时间、排序号排序
2.能根据单据状态、单据编号、产品二类、创建时间排序、接收时间、完结时间、确认时间
默认按照产品排序号排序",,3,功能测试,
/生产计划/生产计划(#3040),右边列表翻页功能校验,,查看列表翻页功能,功能正常,,3,功能测试,
/生产计划/生产计划(#3040),点击列表计划单号，查看计划单详情,,点击列表计划单号,进入详情页,,2,功能测试,
/生产计划/生产计划(#3040),查看计划单详情字段校验,,"1.详情信息、计划明细
2.详情信息：单据编号、单据状态、创建人、创建日期、提交人、提交日期、完结日期","1.与新增一致
2.与列表一致",,1,功能测试,
/生产计划/生产计划(#3040),查看计划单详情页面查看关联封扉计划弹窗功能,,"1.计划单详情页面，点击查看关联封扉计划
2.点击导出","1.弹出查看关联封扉计划
2.导出关联封面计划列表到本地，文件类型为excel
查看文件内容正确",,2,功能测试,
/生产计划/生产计划(#3040),查看计划单详情页面查看关联封扉计划弹窗字段校验,,查看弹窗列表字段,"正确显示：部件计划单号、部件编码、来源计划单号、来源产品、转单数量
来源计划单号取详情页计划单号
部件计划单号是来源计划单关联的封扉计划单号
转单数量是封扉部件已转订单数量",,2,功能测试,
/生产计划/生产计划(#3040),批量导入计划单主流程,,"1.点击批量导入计划单
2.点击导入，选择要导入的数据文件，点击确定
3.点击数据检查
4.点击导入（确定）
5.点击导入（提交）","1.弹出生产计划批量导入弹窗
2.导入列表显示文件里的数据
3.显示其他字段以及检查结论
4.新增计划单状态为申请
5.新增计划单状态为待接收",,1,功能测试,
/生产计划/生产计划(#3040),批量导入计划单弹窗功能,,"1.点击下载模板
2.导入文件类型限制
3.数据检查字段说明
4.检查结论
5.生产标志、急单标志、产品编码、配送中心、数量
6.产品名称
7.产品二类
8.生产标志
9.生产属性
10.新增
11.生产计划
12.批次
13.处理人
14.处理时间","1.下载模板文件到本地；模板内容显示正确（序号、产品编码、数量、配送中心、急单标志、生产标志）
产品编码、数量、配送中心为必填项，为红色字体
2.只能导入excel表
3.
4.
5.显示导入的值
6.根据产品编码显示名称
7.显示产品所属二类
8.如果填的是改版则显示为改版；其他情况（空白或者填了不规范的值）则根据以下逻辑显示：同一个配送中心，该产品没有转过生产订单（即没有生产计划或有生产计划未转单）为首批，否则为追加
9.显示产品的生产属性
10.显示该条产品明细是否新增生产计划，如果是追加合并到现有生产计划中，显示“否”，需要新增生产计划则显示“是”
11.新增计划显示空值；追加到现有计划单中，显示现有计划单编号
12.显示本次导入的批次编号，批次号即为“操作人的工号+时间戳”
13.显示本次导入的操作人
14.显示本次导入的操作时间",,1,功能测试,
/生产计划/生产计划(#3040),批量导入计划单弹窗导入数据检查,,"1.导入数据必填项不为空且数据合法，导入成功
2.导入数据不合法，不允许导入，给出提示
3.导入数据必填项为空","1.导入成功
2.不允许导入，给出提示
3.不允许导入，给出提示",,1,功能测试,
/生产计划/生产计划(#3040),批量导入计划单弹窗，新导入数据合并追加至现有计划校验,,只有数据正常，导入数据按照【届别、产品二类、配送中心、生产标志、生产属性】分类，与已有生产计划（申请、待接收、等待处理3个状态）对比，当【产品编码、配送中心、生产标志、生产属性】一致，且现有生产计划没有转生产订单,"1.新导入的数据追加合并至现有计划中，如果有多条可合并，取较早的那条计划单。
2.否，不可导入数据",,1,功能测试,
